高等数学Ⅱ,54
公益劳动,85
形势与政策Ⅱ,74
大学语文,88
大学物理Ⅰ,84
社会实践二,90
职业生涯与发展规划,79
马克思主义基本原理概论,72
大学物理Ⅱ,54
线性代数A,79
大学英语Ⅲ,70
社会实践三,96
文献检索,92
概率论与数理统计A,92
大学英语Ⅳ,74
毛泽东思想和中国特色社会主义理论体系概论,94
离散数学,84
大学生就业指导,81
新时代劳动教育,81
社会实践一,84
入学教育,81
高等数学I,72
心理健康教育,85
大学计算机基础,87
艺术鉴赏,79
大学英语Ⅰ,87
思想道德修养与法律基础,66
形势与政策Ⅰ,77
中国近现代史纲要,63
军事理论,84
军事技能训练,90
机械工程训练,81
大学体育Ⅰ,88
大学英语Ⅱ,67
C语言程序设计,50
高等数学Ⅱ,47
公益劳动,85
形势与政策Ⅱ,71
大学语文,79
大学物理Ⅰ,54
社会实践二,84
职业生涯与发展规划,81
马克思主义基本原理概论,65
大学物理Ⅱ,44
线性代数A,55
大学英语Ⅲ,70
社会实践三,91
文献检索,77
概率论与数理统计A,82
大学英语Ⅳ,77
毛泽东思想和中国特色社会主义理论体系概论,66
离散数学,75
大学生就业指导,84
新时代劳动教育,84
社会实践一,94
入学教育,94
高等数学I,81
心理健康教育,91
大学计算机基础,83
艺术鉴赏,91
大学英语Ⅰ,81
思想道德修养与法律基础,68
形势与政策Ⅰ,89
中国近现代史纲要,80
军事理论,85
军事技能训练,80
机械工程训练,76
大学体育Ⅰ,72
大学英语Ⅱ,78
C语言程序设计,48
高等数学Ⅱ,65
公益劳动,85
形势与政策Ⅱ,88
大学语文,87
大学物理Ⅰ,64
社会实践二,97
职业生涯与发展规划,87
马克思主义基本原理概论,77
大学物理Ⅱ,60
线性代数A,83
大学英语Ⅲ,78
社会实践三,96
文献检索,77
概率论与数理统计A,89
大学英语Ⅳ,80
毛泽东思想和中国特色社会主义理论体系概论,84
离散数学,83
大学生就业指导,79
新时代劳动教育,81
社会实践一,94
入学教育,79
高等数学I,72
心理健康教育,83
大学计算机基础,89
艺术鉴赏,85
大学英语Ⅰ,83
思想道德修养与法律基础,78
形势与政策Ⅰ,80
中国近现代史纲要,80
军事理论,85
军事技能训练,80
机械工程训练,81
大学体育Ⅰ,77
大学英语Ⅱ,80
C语言程序设计,54
高等数学Ⅱ,50
公益劳动,85
形势与政策Ⅱ,83
大学语文,82
大学物理Ⅰ,70
社会实践二,96
职业生涯与发展规划,72
马克思主义基本原理概论,85
大学物理Ⅱ,60
线性代数A,94
大学英语Ⅲ,76
社会实践三,94
文献检索,87
概率论与数理统计A,82
大学英语Ⅳ,88
毛泽东思想和中国特色社会主义理论体系概论,89
离散数学,76
大学生就业指导,75
新时代劳动教育,84
社会实践一,89
入学教育,77
高等数学I,79
心理健康教育,82
大学计算机基础,84
艺术鉴赏,83
大学英语Ⅰ,70
思想道德修养与法律基础,64
形势与政策Ⅰ,82
中国近现代史纲要,76
军事理论,85
军事技能训练,80
机械工程训练,82
大学体育Ⅰ,75
大学英语Ⅱ,71
C语言程序设计,58
高等数学Ⅱ,58
公益劳动,85
形势与政策Ⅱ,81
大学语文,84
大学物理Ⅰ,60
社会实践二,94
职业生涯与发展规划,80
马克思主义基本原理概论,74
大学物理Ⅱ,56
线性代数A,88
大学英语Ⅲ,77
社会实践三,93
文献检索,93
概率论与数理统计A,89
大学英语Ⅳ,88
毛泽东思想和中国特色社会主义理论体系概论,81
离散数学,91
大学生就业指导,85
新时代劳动教育,81
社会实践一,85
入学教育,79
高等数学I,68
心理健康教育,80
大学计算机基础,97
艺术鉴赏,83
大学英语Ⅰ,84
思想道德修养与法律基础,75
形势与政策Ⅰ,76
中国近现代史纲要,75
军事理论,84
军事技能训练,80
机械工程训练,74
大学体育Ⅰ,80
大学英语Ⅱ,75
C语言程序设计,80
高等数学Ⅱ,50
公益劳动,85
形势与政策Ⅱ,76
大学语文,83
大学物理Ⅰ,67
社会实践二,95
职业生涯与发展规划,80
马克思主义基本原理概论,75
大学物理Ⅱ,65
线性代数A,66
大学英语Ⅲ,77
社会实践三,87
文献检索,83
概率论与数理统计A,67
大学英语Ⅳ,74
毛泽东思想和中国特色社会主义理论体系概论,83
离散数学,56
大学生就业指导,82
新时代劳动教育,84
社会实践一,80
入学教育,78
高等数学I,76
心理健康教育,79
大学计算机基础,77
艺术鉴赏,79
大学英语Ⅰ,81
思想道德修养与法律基础,69
形势与政策Ⅰ,82
中国近现代史纲要,71
军事理论,82
军事技能训练,80
机械工程训练,77
大学体育Ⅰ,70
大学英语Ⅱ,73
C语言程序设计,53
高等数学Ⅱ,60
公益劳动,85
形势与政策Ⅱ,82
大学语文,86
大学物理Ⅰ,66
社会实践二,91
职业生涯与发展规划,87
马克思主义基本原理概论,80
大学物理Ⅱ,84
线性代数A,87
大学英语Ⅲ,77
社会实践三,92
文献检索,75
概率论与数理统计A,95
大学英语Ⅳ,82
毛泽东思想和中国特色社会主义理论体系概论,79
离散数学,83
大学生就业指导,75
新时代劳动教育,81
社会实践一,79
入学教育,75
高等数学I,85
心理健康教育,80
大学计算机基础,91
艺术鉴赏,81
大学英语Ⅰ,73
思想道德修养与法律基础,61
形势与政策Ⅰ,79
中国近现代史纲要,64
军事理论,85
军事技能训练,80
机械工程训练,78
大学体育Ⅰ,82
大学英语Ⅱ,69
C语言程序设计,51
高等数学Ⅱ,54
公益劳动,85
形势与政策Ⅱ,81
大学语文,87
大学物理Ⅰ,66
社会实践二,96
职业生涯与发展规划,73
马克思主义基本原理概论,85
大学物理Ⅱ,60
线性代数A,75
大学英语Ⅲ,68
社会实践三,86
文献检索,80
概率论与数理统计A,81
大学英语Ⅳ,77
毛泽东思想和中国特色社会主义理论体系概论,75
离散数学,78
大学生就业指导,78
新时代劳动教育,77
社会实践一,82
入学教育,85
高等数学I,78
心理健康教育,81
大学计算机基础,80
艺术鉴赏,80
大学英语Ⅰ,74
思想道德修养与法律基础,73
形势与政策Ⅰ,77
中国近现代史纲要,63
军事理论,84
军事技能训练,80
机械工程训练,74
大学体育Ⅰ,75
大学英语Ⅱ,64
C语言程序设计,62
高等数学Ⅱ,51
公益劳动,85
形势与政策Ⅱ,75
大学语文,77
大学物理Ⅰ,61
社会实践二,92
职业生涯与发展规划,80
马克思主义基本原理概论,69
大学物理Ⅱ,47
线性代数A,71
大学英语Ⅲ,74
社会实践三,93
文献检索,83
概率论与数理统计A,87
大学英语Ⅳ,71
毛泽东思想和中国特色社会主义理论体系概论,79
离散数学,81
大学生就业指导,79
新时代劳动教育,80
社会实践一,82
入学教育,90
高等数学I,88
心理健康教育,84
大学计算机基础,87
艺术鉴赏,80
大学英语Ⅰ,74
思想道德修养与法律基础,69
形势与政策Ⅰ,84
中国近现代史纲要,61
军事理论,84
军事技能训练,80
机械工程训练,74
大学体育Ⅰ,73
大学英语Ⅱ,76
C语言程序设计,60
高等数学Ⅱ,50
公益劳动,85
形势与政策Ⅱ,80
大学语文,85
大学物理Ⅰ,62
社会实践二,95
职业生涯与发展规划,75
马克思主义基本原理概论,75
大学物理Ⅱ,57
线性代数A,86
大学英语Ⅲ,75
社会实践三,94
文献检索,99
概率论与数理统计A,91
大学英语Ⅳ,85
毛泽东思想和中国特色社会主义理论体系概论,77
离散数学,81
大学生就业指导,80
新时代劳动教育,83
社会实践一,87
入学教育,74
高等数学I,85
